target,kind
-4.37161106994969,2
-4.4145392704915,2
-4.41793663708829,2
-4.43179827593301,2
-4.45345733652187,2
-4.45593195564972,2
-4.46344155742847,2
-4.46344155742847,2
-4.47495519296315,2
-4.5003129173816,2
-4.552841969,2
-4.55595520408192,2
-4.60205999132796,2
-4.60205999132796,2
-4.61978875828839,2
-4.63264407897398,2
-4.64397414280688,2
-4.64781748188864,2
-4.65757731917779,2
-4.68824613894425,2
-4.69897000433602,2
-4.69897000433602,2
-4.69897000433602,2
-4.69897000433602,2
-4.70114692359029,2
-4.70553377383841,2
-4.76447155309245,2
-4.79588001734408,2
-4.80134291304558,2
-4.823908741,2
-4.84771165561694,2
-4.84771165561694,2
-4.85387196432176,2
-4.85387196432176,2
-4.88605664769316,2
-4.88605664769316,2
-4.9100948885606,2
-4.92081875395238,2
-4.92081875395238,2
-4.92081875395238,2
-4.96257350205938,2
-4.97061622231479,2
-4.98296666070122,2
-4.98716277529483,2
-5.0,2
-5.0,2
-5.01502287358451,2
-5.01772876696043,2
-5.0195421077239,2
-5.05060999335509,2
-5.055517328,2
-5.07058107428571,2
-5.07779372256098,2
-5.13430394008393,2
-5.17457388223218,2
-5.20065945054642,2
-5.20065945054642,2
-5.20760831050175,2
-5.21467016498923,2
-5.21968268785985,2
-5.24412514432751,2
-5.25963731050576,2
-5.30102999566398,2
-5.301029996,2
-5.34678748622466,2
-5.35654732351381,2
-5.37468754903833,2
-5.37571790416433,2
-5.39147396642281,2
-5.397940009,2
-5.46852108295774,2
-5.51004152057517,2
-5.55129368009492,2
-5.58004425151024,2
-5.58502665202918,2
-5.62342304294349,2
-5.74472749489669,2
-5.76955107862173,2
-5.77469071827414,2
-5.92081875395238,2
-5.92081875395238,2
-5.99567862621736,2
-6.0,2
-6.0,2
-6.00656376950239,2
-6.01412464269161,2
-6.055517328,2
-6.070581074,2
-6.08671609823958,2
-6.09908693226233,2
-6.18045606445813,2
-6.19928292171762,2
-6.27984069659404,2
-6.301029996,2
-6.34486156518862,2
-6.34678748622466,2
-6.508638306,2
-6.623423043,2
-6.63827216398241,2
-6.65560772631489,2
-6.66554624884907,2
-6.69897000433602,2
-6.721246399,2
-6.75448733218585,2
-6.76955107862173,2
-6.84771165561694,2
-6.88605664769316,2
-6.886056648,2
-6.92081875395238,2
-6.95860731484177,2
-7.0,2
-7.0,2
-7.0,2
-7.0,2
-7.01772876696043,2
-7.08512818245995,2
-7.09691001300806,2
-7.09691001300806,2
-7.09691001300806,2
-7.16749108729376,2
-7.173925197,2
-7.209714836,2
-7.26760624,2
-7.39794000867204,2
-7.44369749923271,2
-7.45345733652187,2
-7.52287874528034,2
-7.60205999132796,2
